id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_balita_stunting,satuan,tahun
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7803,ORANG,2016
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,23411,ORANG,2016
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,10843,ORANG,2016
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10734,ORANG,2016
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1284,ORANG,2016
73,32,JAWA BARAT,3271,KOTA BOGOR,6794,ORANG,2016
74,32,JAWA BARAT,3272,KOTA SUKABUMI,2457,ORANG,2016
75,32,JAWA BARAT,3273,KOTA BANDUNG,9194,ORANG,2016
76,32,JAWA BARAT,3274,KOTA CIREBON,2767,ORANG,2016
77,32,JAWA BARAT,3275,KOTA BEKASI,16707,ORANG,2016
78,32,JAWA BARAT,3276,KOTA DEPOK,8850,ORANG,2016
79,32,JAWA BARAT,3277,KOTA CIMAHI,5605,ORANG,2016
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7145,ORANG,2016
81,32,JAWA BARAT,3279,KOTA BANJAR,1154,ORANG,2016
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,23797,ORANG,2017
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,22776,ORANG,2017
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,27625,ORANG,2017
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12272,ORANG,2017
86,32,JAWA BARAT,3205,KABUPATEN GARUT,6619,ORANG,2017
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,17588,ORANG,2017
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5831,ORANG,2017
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5101,ORANG,2017
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,20017,ORANG,2017
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2295,ORANG,2017
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9222,ORANG,2017
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18227,ORANG,2017
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,4275,ORANG,2017
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,6858,ORANG,2017
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,16865,ORANG,2017
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,3861,ORANG,2017
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10487,ORANG,2017
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,993,ORANG,2017
100,32,JAWA BARAT,3271,KOTA BOGOR,5538,ORANG,2017
101,32,JAWA BARAT,3272,KOTA SUKABUMI,2161,ORANG,2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,2506,ORANG,2017
103,32,JAWA BARAT,3274,KOTA CIREBON,2953,ORANG,2017
104,32,JAWA BARAT,3275,KOTA BEKASI,18215,ORANG,2017
105,32,JAWA BARAT,3276,KOTA DEPOK,6835,ORANG,2017
106,32,JAWA BARAT,3277,KOTA CIMAHI,3447,ORANG,2017
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6572,ORANG,2017
108,32,JAWA BARAT,3279,KOTA BANJAR,1036,ORANG,2017
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,7642,ORANG,2018
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10691,ORANG,2018
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12476,ORANG,2018
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,21131,ORANG,2018
113,32,JAWA BARAT,3205,KABUPATEN GARUT,10368,ORANG,2018
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,18644,ORANG,2018
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4847,ORANG,2018
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5906,ORANG,2018
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,11082,ORANG,2018
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1958,ORANG,2018
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8032,ORANG,2018
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,25558,ORANG,2018
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,3741,ORANG,2018
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5953,ORANG,2018
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,18436,ORANG,2018
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,6045,ORANG,2018
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7578,ORANG,2018
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,634,ORANG,2018
127,32,JAWA BARAT,3271,KOTA BOGOR,4050,ORANG,2018
128,32,JAWA BARAT,3272,KOTA SUKABUMI,2826,ORANG,2018
129,32,JAWA BARAT,3273,KOTA BANDUNG,10048,ORANG,2018
130,32,JAWA BARAT,3274,KOTA CIREBON,2253,ORANG,2018
131,32,JAWA BARAT,3275,KOTA BEKASI,8087,ORANG,2018
132,32,JAWA BARAT,3276,KOTA DEPOK,6751,ORANG,2018
133,32,JAWA BARAT,3277,KOTA CIMAHI,3585,ORANG,2018
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5149,ORANG,2018
135,32,JAWA BARAT,3279,KOTA BANJAR,1054,ORANG,2018
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,18752,ORANG,2019
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,15583,ORANG,2019
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12761,ORANG,2019
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,19121,ORANG,2019
140,32,JAWA BARAT,3205,KABUPATEN GARUT,9723,ORANG,2019
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,17254,ORANG,2019
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4254,ORANG,2019
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5553,ORANG,2019
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,14127,ORANG,2019
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4642,ORANG,2019
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6780,ORANG,2019
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,19458,ORANG,2019
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,2476,ORANG,2019
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3451,ORANG,2019
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4940,ORANG,2019
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,7436,ORANG,2019
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9322,ORANG,2019
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7863,ORANG,2019
154,32,JAWA BARAT,3271,KOTA BOGOR,3757,ORANG,2019
155,32,JAWA BARAT,3272,KOTA SUKABUMI,2069,ORANG,2019
156,32,JAWA BARAT,3273,KOTA BANDUNG,8121,ORANG,2019
157,32,JAWA BARAT,3274,KOTA CIREBON,2411,ORANG,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,11737,ORANG,2019
159,32,JAWA BARAT,3276,KOTA DEPOK,5241,ORANG,2019
160,32,JAWA BARAT,3277,KOTA CIMAHI,3269,ORANG,2019
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5373,ORANG,2019
162,32,JAWA BARAT,3279,KOTA BANJAR,962,ORANG,2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,34020,ORANG,2020
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14106,ORANG,2020
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11680,ORANG,2020
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,29581,ORANG,2020
167,32,JAWA BARAT,3205,KABUPATEN GARUT,13523,ORANG,2020
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,18952,ORANG,2020
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7688,ORANG,2020
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5298,ORANG,2020
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,21733,ORANG,2020
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4381,ORANG,2020
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8870,ORANG,2020
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11166,ORANG,2020
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,4283,ORANG,2020
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8051,ORANG,2020
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3982,ORANG,2020
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,9373,ORANG,2020
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15440,ORANG,2020
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1312,ORANG,2020
181,32,JAWA BARAT,3271,KOTA BOGOR,5948,ORANG,2020
182,32,JAWA BARAT,3272,KOTA SUKABUMI,1616,ORANG,2020
183,32,JAWA BARAT,3273,KOTA BANDUNG,9508,ORANG,2020
184,32,JAWA BARAT,3274,KOTA CIREBON,2360,ORANG,2020
185,32,JAWA BARAT,3275,KOTA BEKASI,13964,ORANG,2020
